[1613638008910],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613638011739],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613638012858],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613638014992],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1613638017778],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613638021654],"com.nike.plusgps.runlanding.QuickStartEditGoalActivity"
[1613638024174],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613638026688],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613638029448],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613638030552],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613638038814],"com.nike.plusgps.inrun.InRunActivity"
[1613638038830],"com.nike.plusgps.inrun.InRunActivity"
[1613638041653],"com.nike.plusgps.inrun.InRunActivity"
[1613638043685],"com.nike.plusgps.inrun.InRunActivity"
[1613638045619],"com.nike.plusgps.inrun.InRunActivity"
[1613638048018],"com.nike.plusgps.inrun.InRunActivity"
[1613638048975],"com.nike.plusgps.inrun.InRunActivity"
[1613638051293],"com.nike.plusgps.inrun.InRunActivity"
[1613638058085],"com.nike.plusgps.inrun.InRunActivity"
[1613638060973],"com.nike.plusgps.inrun.InRunActivity"
[1613638061881],"com.nike.plusgps.inrun.InRunActivity"
[1613638063729],"com.nike.plusgps.inrun.InRunActivity"
[1613638066786],"com.nike.plusgps.inrun.InRunActivity"
[1613638069121],"com.nike.plusgps.inrun.InRunActivity"
[1613638069995],"com.nike.plusgps.inrun.InRunActivity"
[1613638076851],"com.nike.plusgps.inrun.InRunActivity"
[1613638078765],"com.nike.plusgps.inrun.InRunActivity"
[1613638079740],"com.nike.plusgps.inrun.InRunActivity"
[1613638084259],"com.nike.plusgps.inrun.InRunActivity"
[1613638086056],"com.nike.plusgps.inrun.InRunActivity"
[1613638089013],"com.nike.plusgps.inrun.InRunActivity"
[1613638090861],"com.nike.plusgps.inrun.InRunActivity"
[1613638093161],"com.nike.plusgps.inrun.InRunActivity"
[1613638096824],"com.nike.plusgps.inrun.InRunActivity"
[1613638097731],"com.nike.plusgps.inrun.InRunActivity"
[1613638098671],"com.nike.plusgps.inrun.InRunActivity"
[1613638099662],"com.nike.plusgps.inrun.InRunActivity"
[1613638100619],"com.nike.plusgps.inrun.InRunActivity"
[1613638101593],"com.nike.plusgps.inrun.InRunActivity"
[1613638102652],"com.nike.plusgps.inrun.InRunActivity"
[1613638103626],"com.nike.plusgps.inrun.InRunActivity"
[1613638104600],"com.nike.plusgps.inrun.InRunActivity"
[1613638105625],"com.nike.plusgps.inrun.InRunActivity"
[1613638111019],"com.nike.plusgps.inrun.InRunActivity"
[1613638113287],"com.nike.plusgps.inrun.InRunActivity"
[1613638114614],"com.nike.plusgps.inrun.InRunActivity"
[1613638116613],"com.nike.plusgps.inrun.InRunActivity"
[1613638117621],"com.nike.plusgps.inrun.InRunActivity"
[1613638118646],"com.nike.plusgps.inrun.InRunActivity"
[1613638119636],"com.nike.plusgps.inrun.InRunActivity"
[1613638121685],"com.nike.plusgps.inrun.InRunActivity"
[1613638124762],"com.nike.plusgps.inrun.InRunActivity"
[1613638125755],"com.nike.plusgps.inrun.InRunActivity"
[1613638126745],"com.nike.plusgps.inrun.InRunActivity"
[1613638128761],"com.nike.plusgps.inrun.InRunActivity"
[1613638131096],"com.nike.plusgps.inrun.InRunActivity"
[1613638131987],"com.nike.plusgps.inrun.InRunActivity"
[1613638132910],"com.nike.plusgps.inrun.InRunActivity"
[1613638139866],"com.nike.plusgps.inrun.InRunActivity"
[1613638141965],"com.nike.plusgps.inrun.InRunActivity"
[1613638144922],"com.nike.plusgps.inrun.InRunActivity"
[1613638147862],"com.nike.plusgps.inrun.InRunActivity"
[1613638152280],"com.nike.plusgps.inrun.InRunActivity"
[1613638153608],"com.nike.plusgps.inrun.InRunActivity"
[1613638154632],"com.nike.plusgps.inrun.InRunActivity"
[1613638156615],"com.nike.plusgps.inrun.InRunActivity"
[1613638158663],"com.nike.plusgps.inrun.InRunActivity"
[1613638164107],"com.nike.plusgps.inrun.InRunActivity"
[1613638164981],"com.nike.plusgps.inrun.InRunActivity"
[1613638168324],"com.nike.plusgps.inrun.InRunActivity"
[1613638171062],"com.nike.plusgps.inrun.InRunActivity"
[1613638171919],"com.nike.plusgps.inrun.InRunActivity"
[1613638173851],"com.nike.plusgps.inrun.InRunActivity"
[1613638175769],"com.nike.plusgps.inrun.InRunActivity"
[1613638178638],"com.nike.plusgps.inrun.InRunActivity"
[1613638181627],"com.nike.plusgps.inrun.InRunActivity"
[1613638187625],"com.nike.plusgps.inrun.InRunActivity"
[1613638190665],"com.nike.plusgps.inrun.InRunActivity"
[1613638191640],"com.nike.plusgps.inrun.InRunActivity"
[1613638198630],"com.nike.plusgps.inrun.InRunActivity"
[1613638199641],"com.nike.plusgps.inrun.InRunActivity"
[1613638200850],"com.nike.plusgps.inrun.InRunActivity"
[1613638202715],"com.nike.plusgps.inrun.InRunActivity"
[1613638204680],"com.nike.plusgps.inrun.InRunActivity"
[1613638207049],"com.nike.plusgps.inrun.InRunActivity"
[1613638209820],"com.nike.plusgps.inrun.InRunActivity"
[1613638212172],"com.nike.plusgps.inrun.InRunActivity"
[1613638215029],"com.nike.plusgps.inrun.InRunActivity"
[1613638215936],"com.nike.plusgps.inrun.InRunActivity"
[1613638216893],"com.nike.plusgps.inrun.InRunActivity"
[1613638219850],"com.nike.plusgps.inrun.InRunActivity"
[1613638220808],"com.nike.plusgps.inrun.InRunActivity"
[1613638222655],"com.nike.plusgps.inrun.InRunActivity"
[1613638225630],"com.nike.plusgps.inrun.InRunActivity"
[1613638226638],"com.nike.plusgps.inrun.InRunActivity"
[1613638228620],"com.nike.plusgps.inrun.InRunActivity"
[1613638232635],"com.nike.plusgps.inrun.InRunActivity"
[1613638235020],"com.nike.plusgps.inrun.InRunActivity"
[1613638237976],"com.nike.plusgps.inrun.InRunActivity"
[1613638240798],"com.nike.plusgps.inrun.InRunActivity"
[1613638241739],"com.nike.plusgps.inrun.InRunActivity"
[1613638242646],"com.nike.plusgps.inrun.InRunActivity"
[1613638243637],"com.nike.plusgps.inrun.InRunActivity"
[1613638244629],"com.nike.plusgps.inrun.InRunActivity"
[1613638245635],"com.nike.plusgps.inrun.InRunActivity"
[1613638248004],"com.nike.plusgps.inrun.InRunActivity"
[1613638250793],"com.nike.plusgps.inrun.InRunActivity"
[1613638251801],"com.nike.plusgps.inrun.InRunActivity"
[1613638253750],"com.nike.plusgps.inrun.InRunActivity"
[1613638255698],"com.nike.plusgps.inrun.InRunActivity"
[1613638256705],"com.nike.plusgps.inrun.InRunActivity"
[1613638257713],"com.nike.plusgps.inrun.InRunActivity"
[1613638261862],"com.nike.plusgps.inrun.InRunActivity"
[1613638269660],"com.nike.plusgps.inrun.InRunActivity"
[1613638271625],"com.nike.plusgps.inrun.InRunActivity"
[1613638278664],"com.nike.plusgps.inrun.InRunActivity"
[1613638287005],"com.nike.plusgps.inrun.InRunActivity"
[1613638288773],"com.nike.plusgps.inrun.InRunActivity"
[1613638294716],"com.nike.plusgps.inrun.InRunActivity"
[1613638299639],"com.nike.plusgps.inrun.InRunActivity"
[1613638300614],"com.nike.plusgps.inrun.InRunActivity"
[1613638302596],"com.nike.plusgps.inrun.InRunActivity"
[1613638303638],"com.nike.plusgps.inrun.InRunActivity"
[1613638305990],"com.nike.plusgps.inrun.InRunActivity"
[1613638309819],"com.nike.plusgps.inrun.InRunActivity"
[1613638310743],"com.nike.plusgps.inrun.InRunActivity"
[1613638312624],"com.nike.plusgps.inrun.InRunActivity"
[1613638313616],"com.nike.plusgps.inrun.InRunActivity"
[1613638314641],"com.nike.plusgps.inrun.InRunActivity"
[1613638315632],"com.nike.plusgps.inrun.InRunActivity"
[1613638318018],"com.nike.plusgps.inrun.InRunActivity"
[1613638322875],"com.nike.plusgps.inrun.InRunActivity"
[1613638328704],"com.nike.plusgps.inrun.InRunActivity"
[1613638331023],"com.nike.plusgps.inrun.InRunActivity"
[1613638332804],"com.nike.plusgps.inrun.InRunActivity"
[1613638333745],"com.nike.plusgps.inrun.InRunActivity"
[1613638336114],"com.nike.plusgps.inrun.InRunActivity"
[1613638338871],"com.nike.plusgps.inrun.InRunActivity"
[1613638341188],"com.nike.plusgps.inrun.InRunActivity"
[1613638349622],"com.nike.plusgps.inrun.InRunActivity"
[1613638354042],"com.nike.plusgps.inrun.InRunActivity"
[1613638355873],"com.nike.plusgps.inrun.InRunActivity"
[1613638356813],"com.nike.plusgps.inrun.InRunActivity"
[1613638361803],"com.nike.plusgps.inrun.InRunActivity"
[1613638362728],"com.nike.plusgps.inrun.InRunActivity"
[1613638363634],"com.nike.plusgps.inrun.InRunActivity"
[1613638369079],"com.nike.plusgps.inrun.InRunActivity"
[1613638372271],"com.nike.plusgps.inrun.InRunActivity"
[1613638373649],"com.nike.plusgps.inrun.InRunActivity"
[1613638375632],"com.nike.plusgps.inrun.InRunActivity"
[1613638379631],"com.nike.plusgps.inrun.InRunActivity"
[1613638381949],"com.nike.plusgps.inrun.InRunActivity"
[1613638384015],"com.nike.plusgps.inrun.InRunActivity"
[1613638385023],"com.nike.plusgps.inrun.InRunActivity"
[1613638386955],"com.nike.plusgps.inrun.InRunActivity"
[1613638390887],"com.nike.plusgps.inrun.InRunActivity"
[1613638393862],"com.nike.plusgps.inrun.InRunActivity"
[1613638397104],"com.nike.plusgps.inrun.InRunActivity"
[1613638398918],"com.nike.plusgps.inrun.InRunActivity"
[1613638399842],"com.nike.plusgps.inrun.InRunActivity"
[1613638400733],"com.nike.plusgps.inrun.InRunActivity"
[1613638404025],"com.nike.plusgps.inrun.InRunActivity"
[1613638405891],"com.nike.plusgps.inrun.InRunActivity"
[1613638409907],"com.nike.plusgps.inrun.InRunActivity"
[1613638413031],"com.nike.plusgps.inrun.InRunActivity"
[1613638414006],"com.nike.plusgps.inrun.InRunActivity"
[1613638418141],"com.nike.plusgps.inrun.InRunActivity"
[1613638421165],"com.nike.plusgps.inrun.InRunActivity"
[1613638422241],"com.nike.plusgps.inrun.InRunActivity"
[1613638423668],"com.nike.plusgps.inrun.InRunActivity"
[1613638424659],"com.nike.plusgps.inrun.InRunActivity"
[1613638427667],"com.nike.plusgps.inrun.InRunActivity"
[1613638428708],"com.nike.plusgps.inrun.InRunActivity"
[1613638433884],"com.nike.plusgps.inrun.InRunActivity"
[1613638434842],"com.nike.plusgps.inrun.InRunActivity"
[1613638435850],"com.nike.plusgps.inrun.InRunActivity"
[1613638436825],"com.nike.plusgps.inrun.InRunActivity"
[1613638437799],"com.nike.plusgps.inrun.InRunActivity"
[1613638440907],"com.nike.plusgps.inrun.InRunActivity"
[1613638441898],"com.nike.plusgps.inrun.InRunActivity"
[1613638443898],"com.nike.plusgps.inrun.InRunActivity"
[1613638444855],"com.nike.plusgps.inrun.InRunActivity"
[1613638445780],"com.nike.plusgps.inrun.InRunActivity"
[1613638447696],"com.nike.plusgps.inrun.InRunActivity"
[1613638452065],"com.nike.plusgps.inrun.InRunActivity"
[1613638457325],"com.nike.plusgps.inrun.InRunActivity"
[1613638459660],"com.nike.plusgps.inrun.InRunActivity"
[1613638460584],"com.nike.plusgps.inrun.InRunActivity"
[1613638464633],"com.nike.plusgps.inrun.InRunActivity"
[1613638465657],"com.nike.plusgps.inrun.InRunActivity"
[1613638469022],"com.nike.plusgps.inrun.InRunActivity"
[1613638470786],"com.nike.plusgps.inrun.InRunActivity"
[1613638476751],"com.nike.plusgps.inrun.InRunActivity"
[1613638479086],"com.nike.plusgps.inrun.InRunActivity"
[1613638480866],"com.nike.plusgps.inrun.InRunActivity"
[1613638481824],"com.nike.plusgps.inrun.InRunActivity"
[1613638483739],"com.nike.plusgps.inrun.InRunActivity"
[1613638484714],"com.nike.plusgps.inrun.InRunActivity"
